어장명,정점,정점2,위도,경도,어장종류,일시,년도,월,일,기상,수심(m),수온(표),수온(차이),염분(표),Ph(표),DO(표),COD(표),NH4-N(표),NO3-N(표),NO2-N(표),DIN(표),TN(표),DIP(표),TP(표),SIO2-SI(표),CHL-A(표),SS(표),투명도
가로림만,1,15,36.9930555555556,126.311111111111,김,2021-12-11,2021,12,11,맑음,18,12.8,0.01,31.26,7.59,9.65,0.34,0.005,0.146,0.002,0.0200531118386425,0.450023850119835,0.028,0.036,0.415,0.95,22.6,0.5
가로림만,1,15,36.9930555555556,126.311111111111,김,2021-10-13,2021,10,13,맑음,17,22.3,0.13,31.2,6.9,7.51,0.78,0.007,0.057,0.042,0.0200781926023774,0.406177297449584,0.021,0.025,0.237,1.16,9.6,3.1
가로림만,1,15,36.9930555555556,126.311111111111,김,2021-08-02,2021,8,2,흐림,8,21.84,0,31.31,9.5,8.25,0.82,0.016,0.007,0.001,0.020084818622563,0.459879499515948,0.005,0.023,0.044,1.45,8.4,4.1
가로림만,1,15,36.9930555555556,126.311111111111,김,2021-06-09,2021,6,9,맑음,15,14.91,0.31,31.12,9.62,9.12,1.18,0.021,0.122,0.009,0.0201192645705305,0.450562793100979,0.021,0.021,0.079,3.43,18.6,0.9
가로림만,1,15,36.9930555555556,126.311111111111,김,2021-04-01,2021,4,1,맑음,13,6.36,0.18,31.43,7,10.48,1.07,0.009,0.119,0.001,0.0201561650889926,0.429638113269925,0.016,0.028,0.198,1.85,28.4,1
가로림만,1,15,36.9930555555556,126.311111111111,김,2021-02-24,2021,2,24,맑음,11,3.93,0.04,29.08,6.15,11.68,1.35,0.007,0.177,0.003,0.0201906587998383,0.413147939183795,0.025,0.04,0.364,2.15,19,0.8
가로림만,1,15,36.9930555555556,126.311111111111,김,2020-12-28,2020,12,28,맑음,12,8.21,0.46,31.19,8.24,9.85,0.61,0.006,0.152,0.004,0.0202050397288986,0.457602365598127,0.026,0.042,0.358,1.36,10.6,3.2
가로림만,1,15,36.9930555555556,126.311111111111,김,2020-10-09,2020,10,9,맑음,23,20.1,0.01,30.36,10.14,7.56,1.22,0.027,0.02,0.007,0.0202251155045815,0.400342573948765,0.01,0.024,0.094,2.15,8.4,2.3
가로림만,1,15,36.9930555555556,126.311111111111,김,2020-08-07,2020,8,7,흐림/비,11,20.37,0.01,31.1,8.68,7.52,0.85,0.024,0.037,0.019,0.020246752074454,0.401725154579088,0.013,0.032,0.131,1.35,14.6,2.4
가로림만,1,15,36.9930555555556,126.311111111111,김,2020-06-10,2020,6,10,맑음,18,14.19,0.07,31.69,9.16,9.18,0.83,0.007,0.06,0.004,0.0202596874604933,0.452895712530758,0.009,0.025,0.019,2.63,103.67,2.4
